id,product,territory,title,headline,ratio,url,qa
GPS-012,Tracki Universal,Everyday,Time back,Spend the afternoon doing something else.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001536_8ec1d88d-bb3e-4738-bd5b-ef1796f3e196.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-013,Tracki Universal,Weekend,The open road,Take the long way.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001540_462f9042-8ded-4832-a2cf-68f883c55e2c.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-014,Tracki Universal,Ownership,The inherited classic,Some things can't be replaced.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001541_38d51913-81be-45e7-8d36-3000b234dfed.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-015,Tracki Universal,Business,The case that earns,Keep tabs on what keeps you working.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001540_be00a241-efb8-4928-bf27-9972482fdba3.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-016,Tracki Universal,Everyday,The decision moment,You don't have to wait for a reason.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001540_faf75e4b-1738-4c23-aac1-1bf4ddd5b852.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-017,Tracki Universal,Weekend,Backyard adventure,For everything you'd go back for.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001540_2949f726-76a0-417c-8f5b-0d0560ed9186.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-018,Tracki Universal,Ownership,Objects with a story,It's never just stuff.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001541_e8b8c632-f63c-40f0-baa0-4d48f41132e9.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-019,Tracki Universal,Business,The workday close,Close up with a little more confidence.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001545_183bff2a-cb17-4d75-aca3-5d641a8c4cd0.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-020,Tracki Universal,Everyday,The reassuring routine,Peace of mind is a habit.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001545_da144c1e-4f30-4c89-a0ca-3d70203626e3.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-021,Tracki Universal,Product,Graphic geometry,"A better feeling, in a small package.",1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001545_cc8d9945-71ab-45f6-920e-92f4516010da.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-022,Tracki Universal,Ownership,Hands on ownership,Know the thing you love is connected.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001545_b695dd9a-2caf-43e5-a38c-e198369ef88d.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-023,Tracki Universal,Business,Early shift,One less loose end.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001545_de5dd00d-b4a9-4ca6-8b08-29a078d7197c.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-024,Tracki Universal,Weekend,The quiet morning,The point is to enjoy being here.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001545_6e991546-1d15-4290-a94d-c3b7d09b253d.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-025,Tracki Universal,Product,The hero object,Go live. Keep connected.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001550_1f648ea4-66e3-4aeb-b7e6-87cd82bbdb5d.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-026,Tracki Pro,Ownership,The car you love,For the car you'd go back for.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001550_717fdd8b-8024-4065-80d5-6553a0530f4a.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-027,Tracki Pro,Weekend,Sunday still yours,Keep the weekend yours.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001550_8021404a-90cb-45d0-9eb3-e0d8adba5841.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-028,Tracki Pro,Ownership,The garage ritual,One small part of looking after it.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001550_9fbc3e19-3805-410e-8879-ff062b252ad6.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-029,Tracki Pro,Everyday,Ready before the trip,Before you go. Know.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001550_bfe3bb82-779f-4904-a6ca-359c925a4f35.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-030,Tracki Pro,Education,Away from the crowd,Built for more than the last place it was seen.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001550_a8e77a0c-85ba-4e86-b2a0-fc62cbc6d6d6.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-031,Tracki Pro,Product,Small object big meaning,Small device. Bigger peace of mind.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001624_5aea787b-76da-4548-aa80-ddebb573a95a.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-032,Tracki Pro,Business,The working trailer,Your equipment has somewhere to be.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001624_d99e00cb-edcb-4e98-afa6-41b283263892.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-033,Tracki Pro,Weekend,First light departure,More out there. Less checking.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001624_ef39a02c-4430-401e-bea2-758e35f08bb3.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-034,Tracki Pro,Everyday,The driveway pause,A little more certain before you leave.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001624_01306778-3533-4f05-a998-b34354dfc721.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-035,Tracki Pro,Product,Precision closeup,Meet the small thing behind the big exhale.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001624_ad21695d-daa9-4715-8d4a-396caa363a1a.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-036,Tracki Pro,Business,The little fleet,The day's work. Within reach.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001624_59d98b98-9f86-45df-b9ca-dc9239f8d9c0.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-037,Tracki Pro,Everyday,Time back,Spend the afternoon doing something else.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001629_06e5acdf-8f4a-4421-a970-b08232580cad.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-038,Tracki Pro,Weekend,The open road,Take the long way.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001629_c099e917-514a-4053-b05c-d6a5eb060e17.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-039,Tracki Pro,Ownership,The inherited classic,Some things can't be replaced.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001629_e225a055-f778-4b8a-a7ff-4ed181c69cac.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-040,Tracki Pro,Business,The case that earns,Keep tabs on what keeps you working.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001629_37f73fde-a584-481b-acc9-1160da71fb68.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-041,Tracki Pro,Everyday,The decision moment,You don't have to wait for a reason.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001629_623ce904-8c07-47a8-a003-d62b59080725.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-042,Tracki Pro,Weekend,Backyard adventure,For everything you'd go back for.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001629_04ab9fbf-e1d1-44eb-8857-a6c74369bf32.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-043,Tracki Pro,Ownership,Objects with a story,It's never just stuff.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001634_b48cd6f1-4e7e-4f6a-80cb-5739a65035b8.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-044,Tracki Pro,Business,The workday close,Close up with a little more confidence.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001634_48c9e5ec-f42a-4774-b868-22506bc301a2.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-045,Tracki Pro,Everyday,The reassuring routine,Peace of mind is a habit.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001634_382d7510-8edb-4a4d-9122-caba0bab7a30.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-046,Tracki Pro,Product,Graphic geometry,"A better feeling, in a small package.",1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_003308_72d81cdf-524a-4279-b99e-cedca2b60236.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-047,Tracki Pro,Ownership,Hands on ownership,Know the thing you love is connected.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001634_37576c1b-a608-471e-9173-966f195964c5.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-048,Tracki Pro,Business,Early shift,One less loose end.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001634_280b753f-90c7-4d2e-adb5-cf8a08131bf8.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-049,Tracki Pro,Weekend,The quiet morning,The point is to enjoy being here.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001642_8a02f1f7-ba05-4c1c-a27c-b44afd71f6e2.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-050,Tracki Pro,Product,The hero object,Go live. Keep connected.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001642_7ec88782-b520-4a90-adcb-ecc7ebeed118.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-051,Optimus 3.0 Bundle,Ownership,The car you love,For the car you'd go back for.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001643_2f70bea0-cc74-4dff-8a8e-b2ba0b46081c.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-052,Optimus 3.0 Bundle,Weekend,Sunday still yours,Keep the weekend yours.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001643_61dd8e1e-3570-419f-8eff-b6fdb299983a.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-053,Optimus 3.0 Bundle,Ownership,The garage ritual,One small part of looking after it.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001642_23295e9d-dd84-48e6-8f4e-af2238dde6ae.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-054,Optimus 3.0 Bundle,Everyday,Ready before the trip,Before you go. Know.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001643_adb58880-5e6b-4df1-bcca-42263002053f.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-055,Optimus 3.0 Bundle,Education,Away from the crowd,Built for more than the last place it was seen.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001707_001004ba-7296-4e5d-8806-970fd717a273.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-056,Optimus 3.0 Bundle,Product,Small object big meaning,Small device. Bigger peace of mind.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001708_30271a4d-e084-44da-9b3d-3fa2182a96d0.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-057,Optimus 3.0 Bundle,Business,The working trailer,Your equipment has somewhere to be.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001708_64b28095-b674-4d90-af07-204256584460.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-058,Optimus 3.0 Bundle,Weekend,First light departure,More out there. Less checking.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001707_1816acd2-ff04-4499-817d-163e6c3a6d76.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-059,Optimus 3.0 Bundle,Everyday,The driveway pause,A little more certain before you leave.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001707_3ce6d6df-371a-45cb-afc5-40189868f560.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-060,Optimus 3.0 Bundle,Product,Precision closeup,Meet the small thing behind the big exhale.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001707_badbaea2-b1b9-47d4-9c1f-a0881ad74cf5.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-061,Optimus 3.0 Bundle,Business,The little fleet,The day's work. Within reach.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001712_626b9235-1763-4007-9ee2-3ded594d40e6.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-062,Optimus 3.0 Bundle,Everyday,Time back,Spend the afternoon doing something else.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001712_cc2e8ecc-3933-4440-8872-74ffc29b1a7a.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-063,Optimus 3.0 Bundle,Weekend,The open road,Take the long way.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001712_3af729dd-0a4d-44c5-82aa-7031282bfb4a.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-064,Optimus 3.0 Bundle,Ownership,The inherited classic,Some things can't be replaced.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001712_d83063a2-b623-44f8-b22a-da810da24efc.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-065,Optimus 3.0 Bundle,Business,The case that earns,Keep tabs on what keeps you working.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_003308_70035f35-afad-46e7-a905-3f845b454b29.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-066,Optimus 3.0 Bundle,Everyday,The decision moment,You don't have to wait for a reason.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001712_5dc27ade-146b-4203-b039-8c05a3ee3334.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-067,Optimus 3.0 Bundle,Weekend,Backyard adventure,For everything you'd go back for.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001716_2d56c832-5604-473a-b797-37c66ec63bf6.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-068,Optimus 3.0 Bundle,Ownership,Objects with a story,It's never just stuff.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001716_83ae04fc-6967-45ad-94dd-884adb4e3ded.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-069,Optimus 3.0 Bundle,Business,The workday close,Close up with a little more confidence.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001716_d3fc780c-6c47-490a-bf01-2279f4df1626.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-070,Optimus 3.0 Bundle,Everyday,The reassuring routine,Peace of mind is a habit.,9:16,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001716_f45a879f-4afd-4e21-a3e5-0634802b4636.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-071,Optimus 3.0 Bundle,Product,Graphic geometry,"A better feeling, in a small package.",1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_003308_0594437f-6991-40ca-a545-b5d7acf3125f.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-072,Optimus 3.0 Bundle,Ownership,Hands on ownership,Know the thing you love is connected.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_003308_d032420c-2e9c-4b61-8919-ba74d4710b16.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-073,Optimus 3.0 Bundle,Business,Early shift,One less loose end.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001724_8fcc4f21-47b5-42f3-b0a7-539f5d8a531a.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-074,Optimus 3.0 Bundle,Weekend,The quiet morning,The point is to enjoy being here.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001723_266322c9-c37a-4527-8e48-38fad0d14e43.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-075,Optimus 3.0 Bundle,Product,The hero object,Go live. Keep connected.,1:1,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_003308_c8e0ab70-41da-4de1-9129-ea9b5cc07d3d.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-076,LandAirSea 54,Ownership,The car you love,For the car you'd go back for.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001723_c2609896-2342-40d0-8633-da1a6174c26e.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-077,LandAirSea 54,Weekend,Sunday still yours,Keep the weekend yours.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001724_9af80132-bcaa-42ab-b859-236602fbda99.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-078,LandAirSea 54,Ownership,The garage ritual,One small part of looking after it.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001724_dc5502de-092f-4352-973a-354814a6b08f.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-079,LandAirSea 54,Everyday,Ready before the trip,Before you go. Know.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001750_7819ea39-5b4c-432b-a6b2-4c5c9c98e1d5.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-080,LandAirSea 54,Education,Away from the crowd,Built for more than the last place it was seen.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001750_5530b8a2-e895-4274-8c65-545a10699f27.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-081,LandAirSea 54,Product,Small object big meaning,Small device. Bigger peace of mind.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001750_e2eb34ca-120e-48d5-938e-1961b791c874.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-082,LandAirSea 54,Business,The working trailer,Your equipment has somewhere to be.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001750_0877ff38-fc07-4328-acc3-83472340e1a1.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-083,LandAirSea 54,Weekend,First light departure,More out there. Less checking.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001750_c232e7e0-0ab5-4537-b4fc-0e24395c21dc.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
